code,name_tr,flag_emoji,group_letter
CZE,Çek Cumhuriyeti,🇨🇿,A
MEX,Meksika,🇲🇽,A
RSA,Güney Afrika,🇿🇦,A
KOR,Güney Kore,🇰🇷,A
BIH,Bosna Hersek,🇧🇦,B
CAN,Kanada,🇨🇦,B
QAT,Katar,🇶🇦,B
SUI,İsviçre,🇨🇭,B
BRA,Brezilya,🇧🇷,C
HAI,Haiti,🇭🇹,C
MAR,Fas,🇲🇦,C
SCO,İskoçya,🏴󠁧󠁢󠁳󠁣󠁴󠁿,C
AUS,Avustralya,🇦🇺,D
PAR,Paraguay,🇵🇾,D
TUR,Türkiye,🇹🇷,D
USA,ABD,🇺🇸,D
CUW,Curaçao,🇨🇼,E
ECU,Ekvador,🇪🇨,E
GER,Almanya,🇩🇪,E
CIV,Fildişi Sahili,🇨🇮,E
JPN,Japonya,🇯🇵,F
NED,Hollanda,🇳🇱,F
SWE,İsveç,🇸🇪,F
TUN,Tunus,🇹🇳,F
BEL,Belçika,🇧🇪,G
EGY,Mısır,🇪🇬,G
IRN,İran,🇮🇷,G
NZL,Yeni Zelanda,🇳🇿,G
CPV,Yeşil Burun,🇨🇻,H
KSA,Suudi Arabistan,🇸🇦,H
ESP,İspanya,🇪🇸,H
URU,Uruguay,🇺🇾,H
FRA,Fransa,🇫🇷,I
IRQ,Irak,🇮🇶,I
NOR,Norveç,🇳🇴,I
SEN,Senegal,🇸🇳,I
ALG,Cezayir,🇩🇿,J
ARG,Arjantin,🇦🇷,J
AUT,Avusturya,🇦🇹,J
JOR,Ürdün,🇯🇴,J
COL,Kolombiya,🇨🇴,K
COD,Demokratik Kongo,🇨🇩,K
POR,Portekiz,🇵🇹,K
UZB,Özbekistan,🇺🇿,K
CRO,Hırvatistan,🇭🇷,L
ENG,İngiltere,🏴󠁧󠁢󠁥󠁮󠁧󠁿,L
GHA,Gana,🇬🇭,L
PAN,Panama,🇵🇦,L
